NOM_BORNE_RECHARGE,NOM_PARC,ADRESSE,VILLE,PROVINCE,NIVEAU_RECHARGE,MODE_TARIFICATION,TYPE_EMPLACEMENT,LONGITUDE,LATITUDE
"CEA-12994","7049 | BSR | CDN-NDG | 3593 Appleton","3593 Appleton Montréal QC H3S 2A5","Montréal","QC","Niveau 2","par heure",,-73.634693,45.502272
"CEA-12905","7050 | BSR | CDN-NDG | 5530 Gatineau","5530 Gatineau Montréal QC H3T 1X6","Montréal","QC","Niveau 2","par heure","sur rue",-73.62393,45.498042
"CEA-12901","7050 | BSR | CDN-NDG | 5530 Gatineau","5530 Gatineau Montréal QC H3T 1X6","Montréal","QC","Niveau 2","par heure","sur rue",-73.62393,45.498042
"CEA-13495","7051 | BSR | CDN-NDG | 5645 Upper Lachine","5645 Upper Lachine Montréal QC H4A 2X4","Montréal","QC","Niveau 2","par heure",,-73.608994,45.46928
"CEA-13497","7051 | BSR | CDN-NDG | 5645 Upper Lachine","5645 Upper Lachine Montréal QC H4A 2X4","Montréal","QC","Niveau 2","par heure",,-73.608994,45.46928
"CEA-13649","7052 | BSR | CDN-NDG | 5845 Upper Lachine","5845 Upper Lachine Montréal QC H4A 2B7","Montréal","QC","Niveau 2","par heure",,-73.612298,45.467095
"CEA-13650","7052 | BSR | CDN-NDG | 5845 Upper Lachine","5845 Upper Lachine Montréal QC H4A 2B7","Montréal","QC","Niveau 2","par heure",,-73.612298,45.467095
"CEA-12856","7053 | BSR | CDN-NDG | 7250 Boul. Ste-Anne-de-Bellevue","7250 Boul. Ste-Anne-de-Bellevue Montréal QC H4B 1T4","Montréal","QC","Niveau 2","par heure","sur rue",-73.633343,45.452818
"CEA-12843","7053 | BSR | CDN-NDG | 7250 Boul. Ste-Anne-de-Bellevue","7250 Boul. Ste-Anne-de-Bellevue Montréal QC H4B 1T4","Montréal","QC","Niveau 2","par heure","sur rue",-73.633343,45.452818
"CEA-12646","7054 | BSR | CDN-NDG | 6939  Décarie","6939 Décarie Montréal QC H3W 3E4","Montréal","QC","Niveau 2","par heure","sur rue",-73.648802,45.493352
"CEA-12658","7054 | BSR | CDN-NDG | 6939  Décarie","6939 Décarie Montréal QC H3W 3E4","Montréal","QC","Niveau 2","par heure","sur rue",-73.648802,45.493352
"CEA-10969","7080 | BHR | CDN-NDG | 6400 Monkland : Centre culturel de Notre-Dame-de-Grâce","6400 Monkland Ave Montreal QC H4B 1H3","Montreal","QC","Niveau 2","par heure",,-73.630911,45.466182
"CEA-14202","7081 | BHR | CDN-NDG | 4985 West-Hill : Parc de la Confédération","4985 avenue West-Hill Montréal QC H3X 1Z1","Montréal","QC","Niveau 2","par heure",,-73.638019,45.471619
"CEA-172","7082 | BHR | CDN-NDG | 3220 Appleton : Parc Kent","3220 Avenue Appleton Montréal QC H3S 2T3","Montréal","QC","Niveau 2","par heure",,-73.631611,45.505254
"CEA-165","7082 | BHR | CDN-NDG | 3220 Appleton : Parc Kent","3220 Avenue Appleton Montréal QC H3S 2T3","Montréal","QC","Niveau 2","par heure",,-73.631611,45.505254
"CEA-123","7083 | BHR | CDN-NDG | 4920 Vézina - Aréna Bill-Durnam","4988 rue Vézina Montréal QC H3W 1C1","Montréal","QC","Niveau 2","par heure",,-73.644265,45.49489
"CEA-12590","7083 | BHR | CDN-NDG | 4920 Vézina - Aréna Bill-Durnam","4988 rue Vézina Montréal QC H3W 1C1","Montréal","QC","Niveau 2","par heure",,-73.644265,45.49489
"CEA-12657","7198 Impasse de la Boulance","7198 Impasse de la Boulance Montréal QC H1J 2W1","Montréal","QC","Niveau 2","par heure",,-73.589012,45.60907
"CEA-12643","7198 Impasse de la Boulance","7198 Impasse de la Boulance Montréal QC H1J 2W1","Montréal","QC","Niveau 2","par heure",,-73.589012,45.60907
"CEA-13421","7979 Cordner","7979 Rue Cordner Montréal QC H8N 2X2","Montréal","QC","Niveau 2","par heure",,-73.633707,45.439301
"CEA-13423","7979 Cordner","7979 Rue Cordner Montréal QC H8N 2X2","Montréal","QC","Niveau 2","par heure",,-73.633707,45.439301
"CEA-10448","8001 | BSR | SO | 741 Brewster","741 Avenue Brewster Montréal QC H4C 2K2","Montréal","QC","Niveau 2","par heure","sur rue",-73.582618,45.482748
"CEA-10454","8001 | BSR | SO | 741 Brewster","741 Avenue Brewster Montréal QC H4C 2K2","Montréal","QC","Niveau 2","par heure","sur rue",-73.582618,45.482748
"CEA-10274","8001 | BSR | SO | 741 Brewster","741 Avenue Brewster Montréal QC H4C 2K2","Montréal","QC","Niveau 2","par heure","sur rue",-73.582618,45.482748
"CEA-10161","8001 | BSR | SO | 741 Brewster","741 Avenue Brewster Montréal QC H4C 2K2","Montréal","QC","Niveau 2","par heure","sur rue",-73.582618,45.482748
"CEA-10323","8002 | BSR | SO | 372 Square G-E Cartier","372 Square G-E Cartier Montréal QC H4C 3A2","Montréal","QC","Niveau 2","par heure","sur rue",-73.587633,45.473644
"CEA-10260","8002 | BSR | SO | 372 Square G-E Cartier","372 Square G-E Cartier Montréal QC H4C 3A2","Montréal","QC","Niveau 2","par heure","sur rue",-73.587633,45.473644
"CEA-10289","8003 | BSR | SO | 1825 Notre-Dame O","1825 rue Notre-Dame O Montréal QC H3J 2Y4","Montréal","QC","Niveau 2","par heure","sur rue",-73.569211,45.487866
"CEA-10292","8003 | BSR | SO | 1825 Notre-Dame O","1825 rue Notre-Dame O Montréal QC H3J 2Y4","Montréal","QC","Niveau 2","par heure","sur rue",-73.569211,45.487866
"CEA-10297","8004 | BSR | SO | 1105 de la Sucrerie","1105 Rue de la Sucrerie Montréal QC H3K 3E7","Montréal","QC","Niveau 2","par heure","sur rue",-73.560206,45.483586
"CEA-10287","8004 | BSR | SO | 1105 de la Sucrerie","1105 Rue de la Sucrerie Montréal QC H3K 3E7","Montréal","QC","Niveau 2","par heure","sur rue",-73.560206,45.483586
"CEA-10333","8005 | BSR | SO | 1010 rue Charlevoix","1010 rue Charlevoix Montréal QC H3K 3G8","Montréal","QC","Niveau 2","par heure","sur rue",-73.566927,45.477036
"CEA-10338","8005 | BSR | SO | 1010 rue Charlevoix","1010 rue Charlevoix Montréal QC H3K 3G8","Montréal","QC","Niveau 2","par heure","sur rue",-73.566927,45.477036
"CEA-10295","8006 | BSR | SO | 550 Avenue Atwater","550 Avenue Atwater Montréal QC H4C 2G6","Montréal","QC","Niveau 2","par heure","sur rue",-73.578612,45.481772
"CEA-10303","8006 | BSR | SO | 550 Avenue Atwater","550 Avenue Atwater Montréal QC H4C 2G6","Montréal","QC","Niveau 2","par heure","sur rue",-73.578612,45.481772
"CEA-10331","8007 | BSR | SO | 2385 du Parc Garneau","2385 Rue du Parc Garneau Montréal QC H4E 2C2","Montréal","QC","Niveau 2","par heure","sur rue",-73.594736,45.455844
"CEA-10337","8007 | BSR | SO | 2385 du Parc Garneau","2385 Rue du Parc Garneau Montréal QC H4E 2C2","Montréal","QC","Niveau 2","par heure","sur rue",-73.594736,45.455844
"CEA-10637","8008 | BSR | SO | 6098 Mazarin","6098 Rue Mazarin Montréal QC H4E 2X2","Montréal","QC","Niveau 2","par heure","sur rue",-73.601307,45.456124
